day,hour,dark,midnight,AnaSetupTimeBin,contime,pixelsize,plant_leafs,plant_2Darea,plant_3Darea,plant_touch,plant_circularity,plant_compactness,plant_asymmetry,origin_x,origin_y,origin_z,com_x,com_y,com_z,reliable_fraction,reliable_average,reliable_weighted,01:leaf_2Darea,01:leaf_3Darea,01:leaf_touch,01:leaf_circularity,01:leaf_compactness,01:leaf_curvature,01:leaf_length,01:leaf_width,01:leaf_aspectratio,01:leaf_distance,01:xy_origin_center,01:xy_origin_base,01:xy_origin_tip,01:xy_base_tip,01:xy_left_right,01:z_origin_center,01:z_origin_base,01:z_origin_tip,01:z_base_tip,01:z_left_right,01:posi_x,01:posi_y,01:posi_z,02:leaf_2Darea,02:leaf_3Darea,02:leaf_touch,02:leaf_circularity,02:leaf_compactness,02:leaf_curvature,02:leaf_length,02:leaf_width,02:leaf_aspectratio,02:leaf_distance,02:xy_origin_center,02:xy_origin_base,02:xy_origin_tip,02:xy_base_tip,02:xy_left_right,02:z_origin_center,02:z_origin_base,02:z_origin_tip,02:z_base_tip,02:z_left_right,02:posi_x,02:posi_y,02:posi_z,03:leaf_2Darea,03:leaf_3Darea,03:leaf_touch,03:leaf_circularity,03:leaf_compactness,03:leaf_curvature,03:leaf_length,03:leaf_width,03:leaf_aspectratio,03:leaf_distance,03:xy_origin_center,03:xy_origin_base,03:xy_origin_tip,03:xy_base_tip,03:xy_left_right,03:z_origin_center,03:z_origin_base,03:z_origin_tip,03:z_base_tip,03:z_left_right,03:posi_x,03:posi_y,03:posi_z,04:leaf_2Darea,04:leaf_3Darea,04:leaf_touch,04:leaf_circularity,04:leaf_compactness,04:leaf_curvature,04:leaf_length,04:leaf_width,04:leaf_aspectratio,04:leaf_distance,04:xy_origin_center,04:xy_origin_base,04:xy_origin_tip,04:xy_base_tip,04:xy_left_right,04:z_origin_center,04:z_origin_base,04:z_origin_tip,04:z_base_tip,04:z_left_right,04:posi_x,04:posi_y,04:posi_z,05:leaf_2Darea,05:leaf_3Darea,05:leaf_touch,05:leaf_circularity,05:leaf_compactness,05:leaf_curvature,05:leaf_length,05:leaf_width,05:leaf_aspectratio,05:leaf_distance,05:xy_origin_center,05:xy_origin_base,05:xy_origin_tip,05:xy_base_tip,05:xy_left_right,05:z_origin_center,05:z_origin_base,05:z_origin_tip,05:z_base_tip,05:z_left_right,05:posi_x,05:posi_y,05:posi_z,06:leaf_2Darea,06:leaf_3Darea,06:leaf_touch,06:leaf_circularity,06:leaf_compactness,06:leaf_curvature,06:leaf_length,06:leaf_width,06:leaf_aspectratio,06:leaf_distance,06:xy_origin_center,06:xy_origin_base,06:xy_origin_tip,06:xy_base_tip,06:xy_left_right,06:z_origin_center,06:z_origin_base,06:z_origin_tip,06:z_base_tip,06:z_left_right,06:posi_x,06:posi_y,06:posi_z,07:leaf_2Darea,07:leaf_3Darea,07:leaf_touch,07:leaf_circularity,07:leaf_compactness,07:leaf_curvature,07:leaf_length,07:leaf_width,07:leaf_aspectratio,07:leaf_distance,07:xy_origin_center,07:xy_origin_base,07:xy_origin_tip,07:xy_base_tip,07:xy_left_right,07:z_origin_center,07:z_origin_base,07:z_origin_tip,07:z_base_tip,07:z_left_right,07:posi_x,07:posi_y,07:posi_z,08:leaf_2Darea,08:leaf_3Darea,08:leaf_touch,08:leaf_circularity,08:leaf_compactness,08:leaf_curvature,08:leaf_length,08:leaf_width,08:leaf_aspectratio,08:leaf_distance,08:xy_origin_center,08:xy_origin_base,08:xy_origin_tip,08:xy_base_tip,08:xy_left_right,08:z_origin_center,08:z_origin_base,08:z_origin_tip,08:z_base_tip,08:z_left_right,08:posi_x,08:posi_y,08:posi_z
16.0,20.05,1.0,0.0,120.0,24245.0,0.027578209591,6.0,35.1989906764,40.0091566658,0.0,0.111387376805,46370.0,0.0341033376811,1073.57355859,1355.37275229,800.423424831,1074.76436915,1355.39585394,800.414139321,0.0,2.2068968171,5.35015449548,9.72697577156,10.7055222751,0.0,0.592753225783,12814.0,0.123509298217,4.02410861268,3.37268939666,0.83812086633,4.81892475235,23.7390070476,26.0944482741,24.2403928505,23.5145566829,292.583852521,43.2008279552,59.4770340346,32.2177744249,12.003741097,1.2470597807,1191.47545121,1406.7232334,797.115307566,4.76404713144,5.08098761228,0.0,0.611227602071,6276.0,0.0618623848767,2.70904933312,2.43303466581,0.898113827634,4.36397986806,313.366074818,313.107301392,310.271341026,308.290163192,217.130924448,42.0014916482,54.0932480114,33.9233256864,10.0097339452,-6.14517313593,1155.58819885,1269.82561561,797.493982396,9.90384367813,10.9332147767,0.0,0.592582795058,13047.0,0.0731679649471,3.89733572922,3.4974389826,0.897392276569,4.50688772158,193.175894699,196.43234433,194.223521889,193.147242375,110.291767668,32.6234973546,47.9138911008,23.4286534674,5.97458840623,-1.86905908369,940.619036887,1323.99188641,797.984402983,1.69201100318,1.88909200426,0.0,0.600360941774,2229.0,0.0174521201922,1.58517770507,1.42979343336,0.901976749224,1.76589416637,97.8446398341,141.677677785,92.7474631274,92.009553813,12.4074185274,63.5092417862,89.0844652024,42.7984894209,-7.55782870548,9.41758481134,1070.86227545,1383.71770744,798.833652879,2.90731365733,3.2336841299,0.0,0.588405294305,3830.0,0.00558453655107,2.19935473449,1.7777467597,0.808303786477,2.38089541947,261.026385857,261.199029037,263.209176781,263.50065372,184.467159061,53.8977547789,80.1326994046,38.8750503558,5.09811292496,-5.79095449812,1066.82209361,1305.10040262,798.490454881,3.99888468586,4.65064738829,0.0,0.579458355769,5268.0,-0.0282824294119,2.39943771579,2.30118707319,0.959052638894,2.77537579685,116.449167144,117.524067982,112.786526648,109.925580658,16.699244234,19.8608087981,41.1109153224,10.9443685893,-12.2869667653,0.179553403815,1032.56583303,1440.22140493,799.47124342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,20.18,1.0,0.0,121.0,24258.0,0.0275983039452,6.0,35.7113762426,40.098006828,0.0,0.111058083663,47045.0,0.0975006607098,1071.42592936,1353.37122245,800.59360595,1074.74016598,1354.44022822,800.576258182,0.0,1.80889943142,4.82518003603,9.89397551166,10.9389164884,0.0,0.591061084926,13034.0,0.116615193423,4.05854877884,3.39356939359,0.836153408155,4.86931313167,23.7477383406,26.0427269585,24.1081219963,23.3555648593,293.442920715,43.6078150516,59.9575454544,32.8162075946,12.5617163904,-0.512685510248,1191.87412587,1405.97488533,797.217803743,4.82932884803,5.157821301,0.0,0.610079437811,6362.0,0.0592872596267,2.73580481427,2.43121601916,0.888665743432,4.39410923929,313.359785354,313.096593457,312.750417676,312.510447078,221.308614014,42.0537491416,54.3176780014,34.1487810248,10.3786199898,-5.31082680504,1156.04569071,1268.34107579,797.632963171,10.0670479696,10.910841149,0.0,0.586174645099,13262.0,0.0663305080159,3.91201518928,3.52443134853,0.90092476077,4.45469619254,193.228477897,196.473638542,194.169876823,193.055247224,108.718588979,31.0533157909,47.239663807,21.734401004,3.89042402017,-2.89812154427,939.901478197,1322.74338507,798.278367847,1.95086060035,2.18137732501,0.0,0.587726272166,2570.0,0.00311282317326,1.64714989944,1.4436608067,0.876459882122,1.79639785738,97.2453862178,300.550198154,92.6790662705,92.9108378262,5.59933933652,66.4768973732,89.5443834686,43.2301123639,-8.82652760502,12.0468548707,1071.45816289,1380.25548531,798.929142393,2.94147269508,3.2878190345,0.0,0.603732966309,3875.0,0.00581341997538,2.17895206298,1.83435967635,0.841854076331,2.43522422749,260.951273583,262.037011741,258.166165296,257.550003492,153.824710018,54.4118075449,79.5888365034,39.1584396125,4.38952249999,-9.09567643579,1066.65032354,1303.64260826,798.595883412,4.03532099279,4.60348562007,0.0,0.591720044873,5316.0,-0.0305778751195,2.39285000211,2.3107139117,0.965674367244,2.80332550643,116.431812783,117.016388268,112.622537249,109.925580658,17.3540246363,20.3006221535,41.0878169835,11.6211614919,-11.5403587069,2.04415392749,1032.26198724,1439.89279854,799.603656072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,20.31,1.0,0.0,123.0,24271.0,0.0275762680831,6.0,36.0408211845,40.6114327151,0.0,0.110925746731,47479.0,0.246370234765,1067.01408639,1349.41390721,800.419875862,1074.71983964,1353.9203125,800.405411273,0.0,2.32802563937,5.34705317554,10.0177071373,11.0264592307,0.0,0.590382317543,13197.0,0.11487329299,4.0812673971,3.4187285701,0.837663460261,4.79409944274,23.7296477273,25.590241182,24.7622819589,24.4439547804,293.259220946,42.4950128143,59.163214427,31.6423269968,11.8092660122,0.0118228602638,1192.1724727,1405.55091733,797.166872308,4.84982427068,5.14649478584,0.0,0.601955396006,6389.0,0.0631912282676,2.74377582872,2.45098793515,0.893290154935,4.32430096408,313.293056149,312.833005476,317.04432005,319.969740728,234.162347046,40.8414954333,53.0230326961,33.1904872024,10.4058457908,-3.27802461719,1156.14224859,1267.49596836,797.577453912,10.1588978267,11.2201307382,0.0,0.590604832013,13383.0,0.0888278089916,3.94810817491,3.53934480971,0.896466016864,4.55562143968,193.270687395,196.862558499,194.231093864,192.96450866,108.152705887,32.7785915419,48.0738210426,23.1341630699,5.51316054281,-1.92442233505,939.412027542,1322.00798418,797.939024721,1.68290192645,1.86995789538,0.0,0.590510324928,2217.0,0.0149536032919,1.55541818332,1.46327185716,0.940757844322,1.77068324832,98.7887771267,463.156002547,92.635853147,92.0454084889,13.2405199152,61.7711574638,86.9873705252,41.9874465845,-6.98547970513,9.42875971934,1070.07520413,1383.96175333,798.845323423,2.98322263011,3.33680580221,0.0,0.598703849071,3930.0,0.00876867119788,2.22531717746,1.76719308689,0.794130879313,2.37910635889,260.845255332,261.790128903,263.348155802,263.58121327,170.980677569,53.2291163008,79.6305795526,38.0180873229,4.63785082113,-6.00997157802,1066.49570552,1302.88760736,798.499662202,4.06264822299,4.73252885422,0.0,0.584515569101,5352.0,-0.0306052085101,2.40888088059,2.31801286832,0.962277913784,2.8022948671,116.501428615,118.211711299,112.531437744,109.069193537,18.0041616059,19.6278823,40.3201269406,11.13427572,-11.4124896256,1.06743522497,1031.97157342,1439.65471664,799.464092486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,20.44,1.0,0.0,124.0,24284.0,0.0275784145559,6.0,36.1721437074,40.856983663,0.0,0.111984969696,47652.0,0.112571936623,1070.90367833,1352.52207551,800.402636061,1074.75166974,1353.72923581,800.384569581,0.0,1.51378548359,4.45165051716,10.0640116107,11.0618356415,0.0,0.590418728884,13258.0,0.128191989969,4.07292980122,3.41582413118,0.838665112802,4.81877337293,23.7125789814,25.7813013712,24.1780672394,23.5615453478,294.290962408,42.7033326254,59.4112399692,31.4169594548,11.0338475761,0.426126637916,1192.43016636,1405.41730129,797.11646584,4.83995610422,5.12964243323,0.0,0.611421957794,6376.0,0.0557140876452,2.73813400287,2.4333069264,0.888673426447,4.33323095375,313.300747978,312.922912318,312.190840689,311.682218832,221.308614014,40.951916849,53.1354466989,33.2330304756,10.4154041761,-5.81646452654,1156.21774931,1267.28179323,797.544459781,10.2036841206,11.3954758695,0.0,0.587955118756,13442.0,0.0909168208102,3.94759754956,3.53497989073,0.89547626027,4.53363756953,193.313919333,196.702230032,194.441455937,193.355340963,107.727629454,32.2405545152,47.9460401823,22.3698729957,4.37066471089,-3.37138092995,939.31266866,1321.6780687,797.965986887,1.99944234293,2.22288535104,0.0,0.598307924482,2634.0,0.00570405989149,1.64880704444,1.46112609842,0.886171673841,1.73519702375,97.3018133494,407.474636389,92.6580716917,92.9108378262,12.1714582086,65.388494275,89.6592236016,41.3471864459,-9.18995160307,10.330036438,1071.41808936,1379.74536869,798.807010875,2.96424538691,3.30971833233,0.0,0.603267898745,3905.0,0.0114556888674,2.15397621684,1.78305663737,0.827797736773,2.3961497674,260.760635857,270.965897221,262.699456985,261.142041236,164.666715207,52.9882189467,77.4688440877,38.1063000869,4.58609497604,-6.59786481702,1066.34576439,1302.05458138,798.471215839,4.06416640244,4.63438442155,0.0,0.582009933125,5354.0,-0.0327898688904,2.41520575603,2.30941213926,0.956196851341,2.78413693324,116.511248296,118.143710922,112.513214622,109.069193537,19.5158730096,18.4556045016,39.2291892084,10.0501041057,-12.1333469346,0.692509880266,1031.96470588,1439.50443439,799.503196034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,20.57,1.0,0.0,125.0,24297.0,0.0275788225793,6.0,36.2586799363,40.8570883502,0.0,0.112252876322,47766.0,0.0760111606264,1072.17637899,1352.64349245,800.334567571,1074.75134903,1353.57617938,800.325389421,0.0,1.15005483013,4.00571369636,10.0996888279,11.1222551501,0.0,0.58807522644,13305.0,0.11803692741,4.0861577961,3.42970673953,0.839347600038,4.77302365935,23.685302659,25.9224970787,24.4773680589,23.922505883,293.682087725,42.028732437,58.8356838308,31.0285299654,11.1715134188,-0.0972638689507,1192.59566787,1405.27016872,797.129834849,4.83843792476,5.04898336732,0.0,0.611230169225,6374.0,0.0519199245936,2.74220546528,2.43293286471,0.887217568307,4.30463982259,313.271378742,313.011196505,310.274778687,308.386539518,216.218837266,40.4767415384,53.0154435145,32.5827877693,9.25431832255,-4.7160697798,1156.2152227,1267.04225137,797.531078462,10.2173477357,11.3598499501,0.0,0.594926159179,13460.0,0.0900188723407,3.9423537436,3.54821171248,0.900023677034,4.51173084325,193.382325844,197.37695108,194.66351528,193.355340963,107.168172435,31.6759867657,47.6973237448,21.5900161247,3.22312389704,-1.56680546845,939.174096737,1321.3213141,797.956211782,2.01386504776,2.23399337755,0.0,0.596485577399,2653.0,0.00555771714084,1.65189864913,1.46938397325,0.889512182861,1.74686794869,97.3383514979,419.600312964,93.6122151267,93.8785245028,7.66680426181,65.2734291558,89.5470885337,41.2796796391,-9.49346815892,10.3217493468,1071.36386585,1379.87991345,798.738684292,2.98701807875,3.41198013455,0.0,0.599465558803,3935.0,0.00969909603254,2.18555907099,1.85199802349,0.847379532347,2.42125862454,260.83888453,266.832300418,258.303685478,256.84245726,154.203973506,53.3581047628,78.5080648181,38.3475692541,4.55154303529,-7.52215452073,1066.40098039,1301.79681373,798.38261679,4.06113004353,4.61186694989,0.0,0.581575110613,5350.0,-0.0319865942455,2.40323962652,2.30944881779,0.960973176501,2.80000680618,116.570730276,119.017184628,112.488743963,108.434948823,17.3540246363,19.1410116217,39.501842302,10.6433578632,-11.806701534,0.764094107074,1031.80619453,1439.4452092,799.407283435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,21.1,1.0,0.0,127.0,24310.0,0.0275845281402,6.0,36.3057434995,40.9297835462,0.0,0.112321539874,47828.0,0.267254150148,1065.96998585,1348.6750113,800.36604431,1074.21624546,1353.77066917,800.356258827,0.0,2.03054652184,4.62425812995,10.0822297641,11.089704038,0.0,0.59596671439,13282.0,0.124418357308,4.09678125666,3.44096150174,0.83991828857,4.83936988594,23.9957828549,25.951793759,25.1195366587,24.8026601534,294.102234501,43.1648339821,59.7076924281,32.0798460454,12.059907331,0.438523632436,1191.25930027,1405.87127251,797.045648002,4.83843792476,5.09611671248,0.0,0.59659182652,6374.0,0.0640053360694,2.73724031384,2.45007559303,0.895089693312,4.36396053427,313.233447416,312.659702961,316.948335287,319.969740728,234.162347046,40.9385938588,53.1724943527,33.142107759,9.63245695006,-2.88156341702,1156.17426437,1266.59627992,797.496774558,10.2446749659,11.1983771833,0.0,0.601017586742,13496.0,0.0790284562882,3.93434502817,3.54660471689,0.901447303553,4.47231062199,193.328655213,197.666114859,194.488627583,192.96450866,108.575724411,31.2277235827,47.7084942682,21.2607261643,2.74067712297,-1.0324263085,939.148877425,1321.77076219,798.037630388,1.70112007992,1.90711104328,0.0,0.58606051242,2241.0,0.0145324205166,1.58295583587,1.47746929578,0.933361034025,1.76549165784,97.4668590047,494.831352712,93.1081979841,91.0050860053,8.74616226256,61.4165341453,86.9833810256,41.516762122,-7.13963918145,11.158623863,1070.23214286,1384.16879252,798.805943391,3.01054986031,3.45421393757,0.0,0.586035641876,3966.0,0.00901203998997,2.23623313392,1.84101413611,0.823265744606,2.44185587728,261.696764288,269.029904546,263.106232525,262.17092349,187.765166018,53.6391383526,79.2366058098,38.8855431478,5.77974256258,-4.54171179719,1066.62809917,1301.77637336,798.389834805,4.08466182509,4.69149892185,0.0,0.584944985085,5381.0,-0.02935031985,2.39553382742,2.31804159091,0.967651370387,2.79644401981,116.485935753,118.61069543,112.313758435,108.434948823,18.0041616059,19.6060134938,39.6821650527,11.2134514475,-10.8898656541,1.10488119778,1031.57456772,1439.34924352,799.417910801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,21.23,1.0,0.0,128.0,24323.0,0.0275747368419,6.0,36.2207254499,40.6201696655,0.0,0.113546524399,47716.0,0.231705952454,1067.80352203,1347.59942475,800.268056161,1072.56877993,1354.42950108,800.300289487,0.0,2.51609073375,5.48110714463,9.9660890358,10.8821011687,0.0,0.598108981746,13129.0,0.121704261427,4.05143240278,3.44933651504,0.851386910138,4.83899735478,24.6014799149,25.4934052002,28.2105353643,29.2488263365,301.908106936,43.8862835774,60.094213457,32.9613094692,13.0253408043,4.14615138388,1187.66079295,1407.12633465,796.945754685,4.84602882204,5.10691442352,0.0,0.608126693516,6384.0,0.0634200340336,2.74046272034,2.45829447007,0.897036274867,4.39767289664,313.432236128,313.84203273,317.417944399,319.969740728,235.060689795,40.9068660504,52.9915106121,33.2883108449,10.0216315418,-3.58513488076,1155.50403533,1266.8267093,797.420555245,10.2530249529,11.2124803702,0.0,0.590798228615,13507.0,0.0697107427652,3.93837316024,3.54370495513,0.899789027333,4.45200927013,193.07669321,197.816175858,194.245638265,192.572445004,106.741970385,32.09492089,48.3440329816,22.6854880486,4.93800297107,-2.99938389713,939.226190476,1323.45688153,797.934832417,1.77702905269,2.00777190545,0.0,0.588281055488,2341.0,0.0134010356574,1.63756853728,1.48735351151,0.908269472481,1.7795063974,95.3956675832,412.915647517,90.5470442539,90.9710219311,16.389540334,63.1498010615,89.3310704125,42.2596689141,-6.87996829887,10.0246791566,1069.82566191,1383.47209776,798.712630881,3.05229979534,3.47981792753,0.0,0.595854190599,4021.0,0.00645475121859,2.26377841515,1.80006350815,0.795158879555,2.45544263895,263.107416082,271.986981169,263.54611523,262.266401901,182.642545294,53.6508615249,79.5656716917,38.892522338,5.80666108386,-5.16329875114,1066.22960653,1301.98848369,798.322626241,4.08466182509,4.63319127201,0.0,0.584944985085,5381.0,-0.0294796903002,2.41236246021,2.31874023546,0.961190647636,2.76721222312,115.922405676,117.347725463,112.167518724,109.069193537,18.0041616059,19.8576242125,40.9765254019,11.0271040823,-11.8151236996,1.78853533886,1031.27287464,1439.39048991,799.360311707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,21.36,1.0,0.0,129.0,24336.0,0.0275702838048,6.0,36.1235619648,40.4737309138,0.0,0.11451336717,47588.0,0.262765187909,1066.92290004,1346.83657548,800.306433195,1071.16873923,1355.1145859,800.364263543,0.0,3.31290308419,6.46279473439,9.81958471834,10.7354421806,0.0,0.603015692675,12936.0,0.129902872439,3.99809748101,3.44617899542,0.861954720161,4.93454419057,24.8447188506,24.6673401351,28.651374045,30.1980019166,302.54175356,45.6194984639,61.4134232888,34.4431081737,13.4113194973,5.25523972724,1184.8427673,1407.74706373,796.837491801,4.84678791177,5.16709263537,0.0,0.605575084325,6385.0,0.0677256648068,2.7395246905,2.46811309216,0.900927485968,4.4596319623,313.408265053,313.69126988,317.338411545,319.969740728,235.954062643,41.433375861,53.4416556617,33.7324963821,9.90999959474,-4.47490775663,1154.56242387,1266.95371498,797.413107859,10.2818703626,11.237816963,0.0,0.589800823575,13545.0,0.0693221199876,3.96748298128,3.57383854123,0.900782324231,4.45812240339,192.519808851,198.202812909,193.451044508,191.309932474,109.83212985,33.6595586864,49.4764050609,24.4639326331,7.49235620773,1.06744839599,939.68946797,1325.91863916,797.893317692,1.74211092522,1.96543494751,0.0,0.58517613343,2295.0,0.0124066822989,1.60439053602,1.4850832209,0.925636986484,1.86876466687,92.6401416921,460.789850494,89.191233154,89.0122396004,-4.398705355,64.5541495061,89.190436942,44.901498341,-5.02290729468,14.6327000038,1069.82633984,1384.22642293,798.676784462,3.0621679618,3.46517333129,0.0,0.586477151399,4034.0,-0.000586703917467,2.2599800402,1.8352578788,0.812068180318,2.47981367214,264.185819325,273.626809477,263.833321483,262.266401901,184.332313983,53.7248201618,79.2672726881,38.8129888128,4.76689486474,-6.45724014056,1065.77403156,1302.13510282,798.365075793,4.10212088883,4.65795035187,0.0,0.587445214533,5404.0,-0.0267325199867,2.39386490496,2.32695777169,0.972050580992,2.79161394802,115.758955035,117.301662597,111.728617891,108.434948823,18.6495387541,22.8067355377,43.913832663,13.498404695,-10.6802443646,1.38903518546,1030.57775785,1439.23479821,799.282167102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
